name,age,nationality,height_cm,weight_kgs,body_type,positions,acceleration,sprint_speed,agility,dribbling,ball_control,short_passing,long_passing,vision,finishing,positioning,interceptions,standing_tackle,sliding_tackle,strength,stamina,crossing,heading_accuracy,volleys,curve,freekick_accuracy,shot_power,jumping,long_shots,aggression,marking,reactions,balance,composure,penalties,overall_rating,potential,value_euro,wage_euro,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),potential_level,growth_index,strength_index,attacking_score,midfield_score,defensive_score,recommended_role
G. Herrera,27,Argentina,187.96,83.9,Normal,GK,53,45,39,20,20,29,18,16,17,12,28,15,17,63,42,17,20,18,12,21,24,56,12,27,24,70,54,43,28,75,78,6000000.0,12000.0,1,2,1,Medium,3,24.8,18.25,26.25,30.75,Defender
Han Rongze,26,China PR,190.5,69.9,Lean,GK,39,33,32,19,18,24,22,36,12,18,19,17,11,33,33,17,14,15,14,17,18,43,17,21,29,53,46,26,19,58,63,120000.0,2000.0,1,3,1,Low,5,24.8,16.75,28.75,20.0,Midfielder
A. Reardon,19,Australia,154.94,74.8,Normal,CB,54,60,55,35,40,35,22,27,22,29,54,56,55,55,62,30,50,18,20,24,35,66,17,44,60,49,63,38,30,54,67,110000.0,1000.0,1,3,2,Low,13,36.2,30.25,36.5,55.0,Defender
M. Diallo,32,Senegal,193.04,78.0,Lean,"CDM,CM",34,39,35,57,67,73,66,54,48,50,65,67,65,77,61,59,77,46,50,46,60,75,60,88,66,70,41,62,48,69,69,600000.0,8000.0,1,3,2,Medium,0,58.6,53.75,63.5,68.5,Defender
S. Salinas,32,United States,152.4,68.0,Normal,"LB,LWB",77,73,71,60,65,66,63,60,55,60,57,57,55,55,83,67,53,55,74,65,62,45,59,52,63,59,62,53,50,64,64,250000.0,2000.0,1,2,2,Low,0,64.8,59.25,68.0,56.0,Midfielder
F. Starzyński,27,Poland,182.88,69.9,Lean,"CAM,CM",46,39,61,72,71,74,71,76,55,68,67,56,36,62,76,76,35,69,75,77,69,66,72,33,36,67,63,70,68,69,70,1200000.0,4000.0,1,3,3,Medium,1,70.6,66.0,74.25,55.25,Midfielder
I. Khalili,31,Palestine,182.88,74.8,Normal,"RM,CAM",72,70,70,65,67,65,63,66,60,66,43,42,41,69,63,61,61,65,67,61,68,74,64,60,49,58,75,65,65,66,66,575000.0,2000.0,1,3,3,Low,0,63.8,64.75,64.25,48.75,Attacker
E. Korkmaz,21,Netherlands,154.94,74.8,Normal,CB,65,63,62,38,53,58,53,33,28,29,49,59,57,68,61,50,58,28,26,29,41,72,22,56,57,55,63,53,31,59,68,210000.0,1000.0,1,3,2,Medium,9,43.6,34.0,51.25,58.25,Defender
F. Tauchhammer,17,Austria,182.88,64.0,Lean,RB,69,61,54,49,46,47,28,32,17,45,48,54,55,57,57,46,40,27,29,28,29,56,28,53,46,41,70,40,38,52,71,90000.0,1000.0,1,3,2,Medium,19,40.4,35.0,41.0,53.5,Defender
Wallace,24,Brazil,190.5,84.8,Lean,CB,66,69,46,45,52,57,50,31,21,25,81,79,78,81,54,34,77,36,33,29,40,71,26,79,78,74,40,68,45,77,81,10000000.0,35000.0,2,2,2,Medium,4,41.6,32.75,48.0,79.75,Defender
B. Kara,25,Turkey,172.72,68.0,Normal,"RW,LW",76,74,82,70,64,59,40,55,62,57,17,12,10,57,60,60,50,55,66,40,70,66,55,44,18,59,83,51,58,64,67,575000.0,7000.0,1,2,3,Low,3,61.2,64.75,53.5,24.0,Attacker
J. Norwood,28,England,175.26,73.0,Normal,ST,70,71,68,58,66,64,55,40,68,68,44,25,16,62,75,61,69,32,41,60,69,76,62,65,40,51,58,53,47,66,66,675000.0,5000.0,1,3,2,Low,0,61.0,65.75,58.5,36.75,Attacker
M. Bleve,23,Italy,182.88,83.9,Normal,GK,21,15,24,11,14,19,27,53,8,6,8,10,13,53,28,10,11,5,12,10,24,63,7,19,14,41,47,55,10,60,67,210000.0,1000.0,1,2,1,Low,7,23.8,12.25,31.75,21.0,Midfielder
M. Lara,18,Chile,167.64,66.2,Lean,"RM,RB",64,63,55,55,49,60,52,54,39,55,42,49,60,40,58,61,58,39,53,40,67,64,43,54,39,60,86,40,51,57,74,210000.0,1000.0,1,2,2,Medium,17,53.2,54.0,56.0,47.75,Midfielder
K. Ota,31,Japan,152.4,78.0,Lean,"LB,LWB",74,71,72,70,67,70,71,67,48,62,66,64,62,68,70,75,48,56,79,74,68,64,56,63,58,60,70,66,63,67,67,550000.0,4000.0,1,2,3,Low,0,65.0,62.0,69.5,65.0,Midfielder
T. Duffus,22,England,185.42,68.0,Lean,CM,50,67,56,58,63,64,63,52,41,47,32,56,56,60,45,48,56,50,55,48,59,57,41,47,33,43,63,61,62,56,64,130000.0,4000.0,1,2,3,Low,8,52.0,51.25,56.0,51.0,Midfielder
M. Sobottka,24,Germany,185.42,74.8,Lean,"CDM,CM",66,66,66,63,67,69,65,59,58,56,71,72,71,75,86,52,66,46,46,44,59,68,56,72,73,72,66,72,45,72,78,3600000.0,16000.0,1,3,3,Medium,6,67.0,59.0,69.75,72.25,Defender
E. Nolan,30,Republic of Ireland,185.42,77.1,Stocky,CB,68,64,70,51,55,55,50,43,35,51,57,58,58,68,75,58,55,22,45,40,43,66,39,60,64,59,57,52,41,61,61,200000.0,3000.0,1,4,2,Low,0,51.8,45.0,55.75,60.25,Defender
J. Paintsil,21,Ghana,167.64,68.0,Lean,"LW,RW,CAM",89,79,88,76,72,66,55,60,61,71,31,28,37,39,80,58,39,53,65,38,65,61,70,47,32,73,91,73,48,71,80,3700000.0,9000.0,1,3,3,Medium,9,68.6,68.25,65.25,33.75,Attacker
Ding Jie,31,China PR,182.88,69.9,Normal,"CDM,CB",60,55,62,32,59,60,55,55,54,54,57,58,48,63,65,45,56,37,52,52,61,57,50,56,64,55,55,55,30,59,59,100000.0,2000.0,1,2,2,Low,0,53.2,50.25,58.75,56.5,Midfielder
E. Pogatetz,36,Austria,190.5,89.8,Lean,CB,33,32,32,29,38,66,49,23,26,43,62,69,62,91,61,33,65,24,22,23,48,60,36,81,67,58,48,63,45,68,68,210000.0,3000.0,2,2,2,Medium,0,41.0,36.5,49.75,71.0,Defender
C. Morris,23,England,185.42,84.8,Stocky,"ST,RW",72,75,66,61,68,55,45,52,65,66,39,25,28,81,63,36,63,49,44,31,65,77,55,63,24,54,60,55,64,66,74,950000.0,8000.0,1,3,2,Medium,8,59.2,64.25,53.75,43.25,Attacker
S. Ingason,25,Iceland,187.96,83.0,Normal,"CB,RB",63,59,58,47,60,56,57,49,43,54,74,75,76,77,68,45,66,30,48,46,61,80,60,73,76,73,58,70,50,73,78,4500000.0,1000.0,1,3,2,Medium,5,52.6,51.25,57.5,75.5,Defender
F. Dimarco,21,Italy,175.26,74.8,Normal,"LB,LM,LWB",67,68,52,62,61,60,56,57,29,54,58,66,66,58,68,65,58,33,60,68,33,54,29,62,62,59,71,59,66,64,75,675000.0,7000.0,1,3,2,Medium,11,55.2,44.5,60.25,62.0,Defender
B. Al Mutairi,28,Saudi Arabia,167.64,49.9,Lean,"LB,LWB",83,83,75,55,56,56,41,43,22,51,54,61,56,57,85,61,41,20,57,33,20,70,29,55,58,54,73,49,37,63,63,290000.0,3000.0,1,3,2,Low,0,52.2,37.0,56.25,57.0,Defender
A. Gomaa,31,Egypt,152.4,73.9,Normal,"ST,CF,CAM",64,68,63,66,64,71,40,64,74,76,16,12,13,75,56,30,72,70,68,59,72,60,73,50,34,59,72,69,73,71,71,2300000.0,15000.0,1,4,3,Medium,0,66.2,72.0,57.75,29.0,Attacker
M. Holgate,22,England,182.88,74.8,Lean,"CB,RB",68,71,62,65,67,74,70,55,37,50,77,78,77,72,70,64,73,40,53,35,51,69,42,75,75,73,57,68,40,76,82,9000000.0,50000.0,1,3,3,High,6,60.2,50.75,67.25,76.0,Defender
Fernando Torres,34,Spain,185.42,78.9,Normal,ST,71,77,70,80,78,77,51,76,76,80,20,22,18,74,60,68,77,80,80,63,83,75,72,62,39,73,51,69,74,79,79,6500000.0,9000.0,3,4,3,Medium,0,73.8,79.75,66.0,33.5,Attacker
G. Gómez,34,Panama,182.88,82.1,Stocky,CDM,63,64,81,64,68,68,70,66,50,55,69,66,60,77,74,72,63,58,70,69,74,66,61,80,60,72,62,72,69,70,70,550000.0,1000.0,1,3,3,Medium,0,64.4,60.75,69.5,68.0,Midfielder
C. Wyke,26,England,185.42,73.9,Stocky,ST,58,64,76,60,64,54,30,46,67,69,31,20,17,79,69,39,70,56,50,49,69,85,52,69,25,61,78,50,58,66,69,825000.0,5000.0,1,3,2,Medium,3,59.2,66.25,49.75,36.75,Attacker
S. Parada,18,Chile,170.18,69.9,Normal,ST,62,62,53,60,40,48,33,45,54,44,17,12,12,45,58,32,38,47,41,34,48,52,48,33,12,50,83,48,64,50,67,60000.0,1000.0,1,3,2,Low,17,53.0,51.5,46.0,21.5,Attacker
J. Van Rankin,25,Mexico,152.4,69.9,Lean,"RB,RWB",78,79,72,66,67,66,64,59,26,55,68,68,70,61,78,66,60,37,59,41,57,63,40,66,67,67,74,64,59,70,74,1900000.0,10000.0,1,3,3,Medium,4,59.0,51.0,66.75,66.75,Midfielder
B. Levis,25,Canada,172.72,69.9,Lean,"LB,LM",75,67,79,59,57,59,46,55,42,52,56,57,56,45,57,62,45,44,60,44,69,62,59,62,58,57,78,49,38,60,65,230000.0,1000.0,1,3,2,Low,5,54.4,55.5,54.25,53.5,Attacker
Diogo Leite,20,Portugal,187.96,73.0,Lean,CB,61,60,52,50,63,65,55,34,30,30,75,75,75,75,73,29,75,32,35,20,59,66,38,80,74,70,55,65,38,74,85,8000000.0,5000.0,1,3,2,High,11,50.4,42.25,56.75,75.0,Defender
W. Ponce,21,Chile,154.94,68.0,Lean,ST,68,68,65,67,68,54,49,37,69,65,18,18,14,69,60,37,66,48,33,24,65,73,53,53,35,46,60,57,62,65,78,1100000.0,1000.0,1,3,3,Medium,13,57.4,66.5,50.0,29.75,Attacker
S. Murillo,25,Colombia,175.26,73.0,Normal,LB,71,70,78,52,55,53,46,40,26,48,54,59,64,64,69,48,47,23,32,30,24,85,29,55,60,56,79,47,36,60,65,230000.0,1000.0,1,2,2,Low,5,48.0,37.5,52.0,60.25,Defender
M. Derrien,25,France,182.88,79.8,Normal,CB,54,60,44,34,39,56,52,31,28,26,63,70,69,70,59,33,59,29,31,33,47,78,26,55,61,56,68,52,48,64,71,550000.0,1000.0,1,2,2,Medium,7,41.6,33.75,49.5,68.0,Defender
A. Fink,31,Germany,175.26,73.9,Normal,"CF,ST",76,71,82,67,69,68,43,68,68,72,21,18,13,58,61,54,58,74,63,61,65,75,63,43,19,70,84,73,77,69,69,1000000.0,5000.0,1,3,3,Medium,0,66.4,68.0,60.0,27.5,Attacker
R. Gómez,26,Argentina,165.1,64.0,Normal,"LM,RM,LW",83,91,87,74,71,66,69,58,65,58,55,46,46,34,88,71,49,57,78,73,72,58,75,68,26,67,90,52,67,72,73,3700000.0,17000.0,1,2,3,Medium,1,70.2,67.25,70.25,45.25,Midfielder
J. Gorenc Stanković,23,Slovenia,190.5,78.0,Lean,CB,50,44,52,53,60,66,56,58,43,46,57,64,61,69,58,28,62,32,44,29,53,58,30,61,63,59,49,52,40,63,74,550000.0,7000.0,1,3,2,Medium,11,55.6,48.75,59.5,62.75,Defender
Park Jun Hyuk,31,Korea Republic,185.42,76.2,Normal,GK,32,33,33,14,14,20,17,62,13,15,14,13,12,28,23,16,16,13,12,15,16,43,14,45,10,66,48,48,19,68,68,550000.0,3000.0,1,3,1,Medium,0,26.4,14.5,30.5,16.75,Midfielder
B. Sadik,32,Finland,193.04,83.0,Lean,ST,58,60,52,57,63,63,49,67,62,64,34,21,15,81,65,53,72,69,45,46,72,61,62,66,29,64,51,65,66,66,66,575000.0,3000.0,1,4,2,Low,0,62.8,63.75,61.0,37.75,Attacker
F. Pardo,28,Colombia,152.4,79.8,Stocky,"RM,LM",83,81,75,73,74,68,67,66,70,76,35,29,28,80,66,75,67,71,79,66,80,67,74,80,42,65,74,70,65,73,73,4200000.0,20000.0,2,4,3,Medium,0,68.6,74.75,66.75,43.0,Attacker
E. Sonupé,22,England,154.94,69.9,Lean,"RM,LM",78,68,65,62,56,56,51,53,41,58,45,48,46,50,57,50,60,42,42,48,61,57,48,63,25,60,55,51,49,59,66,220000.0,2000.0,1,3,2,Low,7,53.8,55.5,54.25,47.25,Attacker
A. Delort,27,France,154.94,83.0,Stocky,"ST,RW",72,76,71,74,71,74,57,71,77,77,23,29,24,82,77,67,76,76,41,71,84,78,74,73,31,69,75,73,75,77,78,10500000.0,32000.0,2,3,3,Medium,1,74.6,78.0,69.75,39.5,Attacker
A. Bell,24,England,154.94,77.1,Normal,"LB,LWB",86,79,66,73,66,63,55,50,45,51,58,68,66,66,76,64,52,45,33,45,52,72,49,63,63,63,71,65,51,68,74,1000000.0,13000.0,1,3,3,Medium,6,61.4,55.25,61.0,64.5,Defender
K. Szymański,25,Poland,190.5,88.0,Normal,GK,20,30,31,9,23,25,14,25,11,10,18,15,14,68,23,18,16,7,14,12,23,39,8,26,21,51,25,47,17,56,58,80000.0,1000.0,1,3,1,Low,2,18.6,13.25,21.75,28.75,Defender
O. Darfalou,25,Algeria,182.88,79.8,Lean,ST,74,79,67,66,68,62,48,47,69,68,21,18,20,75,68,50,67,67,51,38,68,76,65,51,25,64,62,66,61,69,74,1400000.0,7000.0,1,3,3,Medium,5,62.4,67.75,56.25,33.5,Attacker
M. Jones,31,England,182.88,78.0,Normal,"CM,CDM",81,77,68,67,66,62,59,64,61,58,51,54,45,68,75,66,27,52,64,66,64,88,66,60,54,57,61,56,51,63,63,350000.0,3000.0,1,3,3,Low,0,65.8,62.5,65.0,54.5,Midfielder
B. Mansilla,21,Argentina,154.94,78.9,Lean,"LM,ST",90,92,86,69,68,65,57,57,69,62,14,22,22,72,69,55,64,51,54,34,67,65,63,31,26,65,78,55,62,69,80,1800000.0,7000.0,1,3,3,Medium,11,65.8,66.75,62.0,32.5,Attacker
J. Gerlach,29,Germany,193.04,74.8,Normal,CB,55,52,45,33,41,56,55,31,17,29,60,66,64,79,64,38,60,23,27,22,33,51,16,59,66,55,45,55,31,63,64,325000.0,1000.0,1,4,2,Low,1,40.2,28.0,51.5,67.25,Defender
R. Benatelli,26,Germany,154.94,83.0,Normal,"CM,LM",68,51,75,65,71,70,66,66,56,60,63,57,58,73,86,64,45,48,64,56,71,65,67,64,60,64,78,74,63,68,70,1100000.0,8000.0,1,4,3,Medium,2,68.6,63.0,72.0,62.75,Midfielder
Lee Keun Ho,33,Korea Republic,175.26,73.9,Normal,"ST,RW",75,77,77,67,68,70,63,66,67,75,54,35,33,78,70,60,61,65,61,56,68,67,62,53,26,71,74,70,67,70,70,1100000.0,6000.0,1,4,3,Medium,0,68.0,69.25,67.25,50.0,Attacker
D. Revan,18,England,193.04,81.2,Normal,CB,64,61,47,33,32,43,31,33,25,22,55,56,56,55,56,24,52,25,30,24,34,70,23,45,49,45,59,39,33,53,72,110000.0,1000.0,1,3,2,Medium,19,38.0,28.5,40.75,55.5,Defender
L. Carillo,22,Italy,187.96,74.8,Normal,CB,58,61,64,42,47,50,41,29,29,22,63,65,64,67,62,30,63,20,22,27,50,71,33,59,63,53,65,58,32,63,70,450000.0,2000.0,1,2,2,Medium,7,42.4,35.75,45.5,64.75,Defender
H. Otani,34,Japan,175.26,67.1,Normal,"CDM,CM",55,53,52,43,63,69,65,65,27,44,71,62,56,58,60,46,43,28,31,33,51,66,36,52,63,68,70,55,43,65,65,220000.0,3000.0,1,3,2,Low,0,52.8,41.25,64.75,61.75,Midfielder
G. Guruceaga,23,Uruguay,187.96,86.2,Normal,GK,32,19,68,11,12,24,19,39,9,7,11,11,10,62,28,13,10,5,14,12,26,72,8,22,17,32,33,29,18,73,81,4400000.0,8000.0,1,3,1,Medium,8,22.2,13.25,27.5,23.5,Midfielder
O. Alonso,33,Cuba,154.94,69.9,Normal,"CDM,CM",68,68,70,74,74,82,78,65,50,66,70,73,72,76,74,47,66,69,66,51,84,65,66,87,71,73,75,77,66,76,76,4400000.0,8000.0,1,4,2,Medium,0,69.0,68.5,74.75,72.75,Midfielder
J. Orozco,32,Mexico,182.88,81.2,Normal,GK,59,60,69,27,35,52,61,70,14,13,12,15,20,68,45,12,12,14,14,14,24,84,12,40,21,73,63,69,24,76,76,4400000.0,16000.0,2,3,1,Medium,0,41.6,19.5,57.0,28.75,Midfielder
E. Lee,24,England,154.94,72.1,Stocky,"CAM,ST",71,73,68,67,66,64,56,62,65,65,37,27,24,65,66,56,58,61,48,57,63,62,62,56,35,60,70,61,60,66,71,850000.0,3000.0,1,3,3,Medium,5,64.8,65.0,62.0,38.25,Attacker
W. Azofeifa,24,Costa Rica,170.18,69.9,Lean,"CM,CAM",60,61,57,55,58,59,57,53,45,54,40,43,40,45,61,46,41,43,45,40,52,53,41,57,38,55,77,46,42,55,61,120000.0,1000.0,1,2,2,Low,6,54.6,51.5,57.5,42.0,Midfielder
J. Soñora,22,United States,175.26,69.9,Lean,"LW,RW,CAM",66,64,73,64,61,58,45,55,50,53,25,25,25,34,40,54,26,52,55,52,53,42,41,30,40,56,74,56,59,58,70,230000.0,3000.0,1,3,2,Medium,12,53.4,55.0,49.5,27.25,Attacker
A. Rambal,26,Colombia,182.88,69.9,Lean,"CB,CM",64,59,61,54,55,55,54,46,31,46,47,58,46,70,57,45,60,31,39,38,53,78,40,57,55,48,55,41,38,57,61,110000.0,1000.0,1,2,2,Low,4,48.6,46.0,53.0,55.25,Defender
A. Pavlović,25,Serbia,187.96,76.2,Normal,ST,65,68,63,63,66,58,32,52,67,65,22,27,20,81,70,35,62,58,43,26,70,63,57,48,22,60,56,60,64,66,71,875000.0,5000.0,1,3,3,Medium,5,62.0,66.25,53.0,37.5,Attacker
Lee Jae Sung,30,Korea Republic,187.96,74.8,Normal,CB,42,59,67,35,55,58,57,50,36,43,68,71,70,88,74,32,72,11,43,38,66,77,46,70,55,68,60,55,45,70,70,1400000.0,4000.0,1,3,2,Medium,0,50.6,45.0,59.75,74.25,Defender
L. Vargas,20,Chile,154.94,73.9,Lean,CB,62,55,47,38,34,36,28,26,16,26,49,54,56,54,61,27,42,25,20,23,35,68,18,42,44,47,64,38,32,50,65,60000.0,1000.0,1,3,2,Low,15,35.4,28.75,37.75,53.25,Defender
S. Dooley,27,Northern Ireland,154.94,79.8,Normal,"LM,RM",73,71,67,68,62,59,56,65,58,59,40,38,34,41,50,64,43,57,56,56,55,48,53,36,36,57,62,62,57,64,64,475000.0,2000.0,1,3,3,Low,0,60.0,60.0,57.5,38.25,Attacker
V. Shepelev,21,Ukraine,182.88,73.0,Lean,"CDM,CM,CAM",69,60,50,46,71,75,71,72,58,47,72,73,72,58,72,34,40,34,32,32,50,59,36,69,70,73,60,65,35,73,82,5500000.0,1000.0,1,3,2,High,9,64.6,50.25,72.5,68.75,Midfielder
C. McCarthy,20,Republic of Ireland,185.42,74.8,Normal,"CB,RB",59,57,53,48,48,55,44,43,21,27,58,63,61,65,67,51,59,29,28,29,40,75,32,58,62,58,55,55,33,61,75,500000.0,1000.0,1,3,2,Medium,14,46.8,34.0,52.25,61.75,Defender
G. Bartczak,33,Poland,182.88,74.8,Normal,"CB,RB",72,72,79,59,53,63,59,62,42,49,63,62,62,69,72,58,43,37,55,40,43,73,52,61,59,62,69,59,33,62,62,120000.0,1000.0,1,3,2,Low,0,59.6,48.25,64.0,64.0,Midfielder
R. Peña,26,Mexico,170.18,72.1,Normal,RB,66,72,60,62,47,34,26,36,31,53,59,69,63,36,55,58,50,27,36,33,29,54,32,57,55,58,85,42,39,59,61,150000.0,2000.0,1,3,2,Low,2,43.6,43.75,37.75,56.75,Defender
F. Porath,22,Germany,152.4,68.0,Lean,"LM,RM",74,71,76,66,68,67,67,65,52,60,35,46,51,48,66,53,50,48,56,49,60,65,50,49,42,64,72,67,58,65,73,800000.0,3000.0,1,4,3,Medium,8,63.2,59.5,66.25,45.0,Midfielder
A. Semenyo,19,England,152.4,63.0,Stocky,ST,79,80,70,55,56,39,29,44,58,50,14,16,11,68,51,31,56,34,41,30,51,67,50,48,20,54,60,49,51,57,75,220000.0,3000.0,1,4,3,Medium,18,49.4,53.5,40.75,27.25,Attacker
F. Benković,21,Croatia,193.04,91.2,Normal,CB,61,66,52,52,62,64,67,54,38,37,75,75,75,86,75,33,76,19,44,54,74,76,44,82,73,70,44,77,42,76,85,10500000.0,37000.0,1,3,2,High,9,56.6,50.25,65.0,77.75,Defender
K. Oi,34,Japan,154.94,74.8,Lean,CB,52,45,75,23,42,40,42,35,24,34,66,70,69,78,89,49,65,21,26,23,34,82,22,62,66,52,56,57,36,66,66,200000.0,2000.0,1,3,2,Low,0,42.2,28.75,51.5,70.75,Defender
C. Dunn,31,England,193.04,78.9,Lean,GK,45,49,40,12,16,25,21,33,15,11,11,16,13,58,37,14,15,11,11,13,12,54,13,17,18,48,45,38,13,58,58,80000.0,1000.0,1,2,1,Low,0,24.4,12.5,29.0,24.5,Midfielder
J. Mbakogu,26,Nigeria,182.88,82.1,Normal,ST,93,87,82,68,74,59,45,66,74,70,16,25,25,89,76,53,70,70,71,56,68,91,60,61,22,71,65,76,73,74,76,7000000.0,5000.0,2,3,3,Medium,2,68.6,70.0,61.5,38.75,Attacker
E. Balanta,26,Colombia,154.94,83.9,Normal,"CB,CDM",69,75,60,65,70,68,76,46,36,45,73,75,72,86,80,50,75,35,35,42,55,70,34,82,71,72,48,73,43,76,80,8500000.0,23000.0,1,2,2,Medium,4,59.0,50.25,67.5,76.5,Defender
Lu Lin,34,China PR,167.64,68.0,Normal,"LM,LW,CDM,LWB",65,56,90,67,62,62,65,57,61,61,62,50,56,33,63,69,35,50,73,78,73,86,64,51,59,64,92,50,49,64,64,270000.0,4000.0,1,3,2,Low,0,62.0,65.5,61.75,50.25,Attacker
O. Halvorsen,31,Norway,152.4,74.8,Normal,RM,74,74,67,65,66,59,56,58,57,64,51,59,48,63,82,64,46,55,54,62,64,57,56,70,58,60,67,60,71,66,66,600000.0,2000.0,1,3,3,Low,0,64.2,62.5,63.75,55.25,Midfielder
A. Mehmedi,27,Switzerland,182.88,78.0,Normal,"CAM,LM,RM,CF",74,72,77,78,77,76,61,75,74,79,42,40,36,68,71,74,60,77,73,62,81,64,74,68,43,77,76,74,69,77,78,10000000.0,43000.0,2,3,3,Medium,1,74.8,78.0,70.75,46.5,Attacker
L. Yamaguchi,20,Japan,185.42,73.0,Lean,GK,20,26,33,11,17,29,27,29,6,8,13,13,12,40,18,12,12,7,13,12,23,49,5,22,6,50,33,21,17,60,70,260000.0,1000.0,1,3,1,Medium,10,18.6,12.0,25.75,19.5,Midfielder
A. Díaz,23,Mexico,175.26,72.1,Lean,ST,73,74,75,63,63,58,52,59,65,66,25,25,27,60,63,55,63,62,59,48,62,73,56,55,19,60,64,69,58,65,72,775000.0,13000.0,1,4,3,Medium,7,61.6,64.0,58.0,34.25,Attacker
B. Acosta,25,Honduras,175.26,73.0,Normal,"CAM,CDM,RM,CM",83,88,81,64,68,70,74,75,62,69,68,67,62,78,84,56,63,44,49,73,86,72,79,84,66,72,87,68,62,72,76,4100000.0,6000.0,1,3,3,Medium,4,71.0,70.25,75.75,68.75,Midfielder
C. Jean,23,France,170.18,66.2,Normal,"RM,ST",84,82,90,73,71,69,64,62,66,66,29,22,21,51,67,73,61,69,66,59,71,42,69,55,31,69,84,61,64,72,77,4200000.0,17000.0,1,3,3,Medium,5,67.4,69.0,65.5,30.75,Attacker
K. Wojtkowski,21,Poland,172.72,66.2,Lean,CAM,84,75,77,68,68,64,63,64,57,47,32,46,48,44,55,60,42,52,57,42,55,75,62,64,29,49,85,60,54,64,75,775000.0,1000.0,1,4,3,Medium,11,61.6,56.75,61.5,42.5,Midfielder
M. Büchel,27,Liechtenstein,175.26,71.2,Normal,"CM,CDM",78,69,79,72,73,73,70,70,48,66,70,62,62,67,77,62,48,58,64,58,67,69,65,72,60,68,82,65,56,71,71,2400000.0,10000.0,1,3,3,Medium,0,68.0,63.25,72.5,65.25,Midfielder
J. McCarthy,23,England,185.42,79.8,Lean,RB,74,75,60,62,61,62,58,57,47,56,62,64,63,76,85,61,60,37,50,37,60,78,45,68,64,61,63,58,50,67,74,900000.0,3000.0,1,3,2,Medium,7,62.6,56.25,65.5,66.25,Defender
D. Hayes,23,Republic of Ireland,167.64,72.1,Normal,RB,58,56,60,54,55,55,47,42,28,46,52,57,55,58,52,54,52,25,42,32,32,66,28,48,54,55,68,50,23,56,62,100000.0,1000.0,1,2,2,Low,6,46.2,40.0,49.0,55.5,Defender
Dani Olmo,20,Spain,152.4,72.1,Lean,"CAM,LM,CM",78,80,77,77,77,75,76,76,72,76,43,40,32,53,68,75,43,71,72,75,72,55,71,49,40,71,79,73,62,76,85,12000000.0,1000.0,1,4,4,High,9,73.6,74.25,73.75,42.0,Attacker
E. Petignat,18,Switzerland,152.4,71.2,Normal,"CM,CB",58,60,56,49,49,57,57,45,29,38,52,56,53,68,52,41,45,32,40,36,48,63,31,56,46,54,72,37,47,51,73,80000.0,1000.0,1,3,2,Medium,22,46.4,41.0,52.75,57.25,Defender
I. Sadiq,18,Ghana,175.26,69.9,Normal,RW,83,85,84,53,50,47,42,47,51,53,23,31,29,46,49,40,40,37,46,35,51,67,41,61,40,46,83,49,37,54,70,140000.0,1000.0,1,2,3,Medium,16,49.4,52.0,46.25,32.25,Attacker
F. Lauenborg,21,Denmark,154.94,73.9,Lean,CM,60,61,70,58,60,65,57,61,49,51,47,51,50,63,58,44,39,38,47,38,51,52,51,40,52,58,73,51,49,59,67,230000.0,2000.0,1,3,2,Low,8,58.2,52.25,60.25,52.75,Midfielder
He Chao,23,China PR,152.4,77.1,Lean,"CM,CDM",54,66,74,59,58,68,68,65,39,61,65,67,64,74,62,65,60,31,54,59,46,54,41,83,74,68,70,51,62,64,71,625000.0,4000.0,1,4,2,Medium,7,58.6,51.25,65.75,67.5,Defender
Eber Bessa,26,Brazil,167.64,72.1,Stocky,"RW,CAM,CM",73,69,83,71,73,68,64,70,59,67,59,63,62,52,71,68,59,43,73,75,71,69,68,78,58,73,91,73,67,70,71,2100000.0,5000.0,1,3,3,Medium,1,67.8,67.0,68.25,59.0,Midfielder
Y. Boli,25,Ivory Coast,154.94,78.0,Normal,ST,78,76,72,73,68,60,48,56,73,71,39,39,34,73,75,59,75,60,49,60,74,84,63,66,29,66,67,64,64,72,75,4000000.0,9000.0,1,3,3,Medium,3,67.4,72.75,59.75,46.25,Attacker
Yago,21,Brazil,172.72,64.0,Lean,"RW,ST",87,89,80,71,65,57,54,57,63,54,16,21,21,43,56,53,54,59,71,32,60,46,64,34,16,58,75,48,68,65,78,1000000.0,2000.0,1,3,4,Medium,13,60.8,62.0,56.0,25.25,Attacker
C. Ikonomidis,23,Australia,154.94,73.0,Lean,LW,78,75,79,72,73,70,66,66,72,68,49,49,52,64,77,66,57,65,63,56,71,41,68,55,47,68,64,69,58,71,79,3500000.0,5000.0,1,4,3,Medium,8,71.4,70.75,69.75,53.5,Attacker
J. Rodwell,27,England,187.96,78.0,Normal,"CDM,CM,CB",60,61,69,64,71,71,67,70,63,67,68,69,64,71,51,67,74,64,66,47,72,76,70,70,66,60,62,69,57,68,68,750000.0,15000.0,2,3,3,Medium,0,63.8,66.5,64.75,68.0,Defender
R. Boffin,31,Belgium,195.58,86.2,Normal,GK,56,57,52,20,16,18,12,41,13,13,25,12,11,70,38,11,12,17,17,15,20,72,20,35,21,67,33,56,20,70,70,1100000.0,8000.0,1,2,1,Medium,0,26.0,16.5,27.25,29.5,Defender
